ESNTL_ID,FCLTY_NM,LCLAS_NM,MLSFC_NM,ZIP_NO,FCLTY_ROAD_NM_ADDR,FCLTY_LA,FCLTY_LO,WORKDAY_OPN_BSNS_TIME,WORKDAY_CLOS_TIME,SAT_OPN_BSNS_TIME,SAT_CLOS_TIME,SUN_OPN_BSNS_TIME,SUN_CLOS_TIME,RSTDE_OPN_BSNS_TIME,RSTDE_CLOS_TIME,RSTDE_GUID_CN,TEL_NO,OPTN_DC,ADIT_DC
KCCBSPO23N000000140,블루본즈 1호점,독립서점,북카페,54647,전북특별자치도 익산시 동서로5길 116 2층 블루본즈 카페,35.9601056,126.69602759,12:00,21:00,12:00,21:00,12:00,21:00,,,,050714391715,사색 할 수 있는공간,"주차 : 가능, 화장실 남녀구분 : 구분, 카페 : 있음, 리뷰여부 : 있음"
KCCBSPO23N000000141,산밑소담,문구서점,북카페,44959,울산광역시 울주군 청량읍 율리영해1길 150-1,35.5294258,129.92296551,,,12:00,20:00,12:00,20:00,,,평일은 금요일 12:00~20:00 만 운영,,"서점과 카페,디저트,맥주 판매","주차 : 가능, 카페 : 있음"
KCCBSPO23N000000142,서점 리스본,독립서점,북카페,03979,서울특별시 마포구 성미산로23길 60 1층,37.5661037,126.69200702,13:00,20:00,13:00,20:00,13:00,20:00,,,월요일,050714652376,"생일책, 비밀책 등 다양한 테마가 있는 서점",카페 : 있음
KCCBSPO23N000000143,서점 리스본,독립서점,북카페,03979,서울특별시 마포구 성미산로23길 60 1층,37.5661037,126.69200702,13:00,20:00,13:00,20:00,13:00,20:00,,,월요일,050714652376,"생일책, 비밀책 등 다양한 테마가 있는 서점",카페 : 있음
KCCBSPO23N000000144,숨북숨북,독립서점,북카페,51017,경상남도 김해시 율하3로8번길 38,35.1682371,128.88135631,,,,,,,,,,07041770118,"책,커피,음악 공간 대여","카페 : 있음, 공간대여 : 가능"
KCCBSPO23N000000145,스테레오북스,독립서점,북카페,47900,부산광역시 동래구 온천천로453번길 14 2층,35.1919311,129.9103045,11:00,22:00,11:00,22:00,11:00,18:00,,,,050714941020,부산 동래구 안락동의 음악이 있는 책,"주차 가능, 리뷰 있음"
KCCBSPO23N000000146,오케이어 맨션,독립서점,북카페,04049,서울특별시 마포구 와우산로11길 9-7 상수라이크 2층,37.5486095,126.69224489,13:00,21:00,12:00,20:00,12:00,20:00,,,월요일 휴무,050714741165,서점형 카페,"주차 : 가능, 화장실 남녀구분 : 구분, 카페 : 있음, 리뷰여부 : 있음"
KCCBSPO23N000000147,인디무브,독립서점,북카페,50502,경상남도 양산시 하북면 통도사로 71 1층,35.4936311,129.90825215,12:00,21:00,12:00,21:00,12:00,21:00,,,"월,화는 예약자만 이용 가능",07077931303,"북살롱, 와인, 등이 있는 동네책방",카페 : 있음
KCCBSPO23N000000148,작은새책방,독립서점,북카페,56192,전북특별자치도 정읍시 학산로 51-1,35.5622558,126.68703609,10:00,18:00,10:00,18:00,,,,,"일, 월 휴무",050713992351,,"주차 : 가능, 화장실 남녀구분 : 구분, 카페 : 있음, 리뷰여부 : 있음"
KCCBSPO23N000000149,주책공사,독립서점,북카페,48290,부산광역시 수영구 민락본동로19번길 36-11,35.1584146,129.91266472,11:00,20:00,11:00,20:00,11:00,20:00,,,일요일 휴무,,커피와 책이 있는 문화복합공간,"카페 : 있음, 독립출판물 : 있음, 리뷰여부 : 있음"
KCCBSPO23N000000150,차방책방,독립서점,북카페,41919,대구광역시 중구 경상감영길 60 1층 차방책방,35.8714252,128.85907352,11:00,20:30,,,,,,,일요일 휴무,0533534878,독립서점과 북카페의 복합공간,"카페 : 있음, 독립출판물 : 있음"
KCCBSPO23N000000151,책과생활,독립서점,북카페,61465,광주광역시 동구 제봉로 100-1 2층,35.1473745,126.69221439,12:00,20:00,12:00,20:00,13:00,18:00,,,매월 마지막주 월요일 휴무,050713099231,"아트북, 인문사회서적, 문학책, 독립출판물",카페 : 있음
KCCBSPO23N000000152,책방 세간,독립서점,북카페,33124,충청남도 부여군 규암면 자온로 82 책방세간,36.2737436,126.68888113,12:00,19:00,12:00,19:00,12:00,19:00,12:00,19:00,,0418348205,"독립서점, 북카페","화장실 남녀구분 : 구분, 카페 : 있음"
KCCBSPO23N000000153,책방마실,독립서점,북카페,24346,강원특별자치도 춘천시 옥천길 27 2층,37.8822158,127.77302636,12:00,22:00,12:00,22:00,12:00,19:00,,,,,춘천에 위치한 작은 서점,"카페 : 있음, 독립출판물 : 있음"
KCCBSPO23N000000154,치읓의자리,독립서점,북카페,61197,광주광역시 북구 서방로159번길 47 1층,35.1713767,126.69305719,11:00,20:00,11:00,20:00,11:00,20:00,,,화요일 휴무,050713469038,책과 음료를 즐길 수 있는 독립서점,"주차 : 가능, 화장실 남녀구분 : 구분, 카페 : 있음, 리뷰여부 : 있음"
KCCBSPO23N000000155,호호북앤와인,독립서점,북카페,07976,서울특별시 양천구 목동중앙본로2길 46-39 상가 1층,37.539975,126.68728128,,,,,,,,,,,,
KCCBSPO23N000000156,휘게문고 NC백화점 대전유성점,문구서점,북카페,34187,대전광역시 유성구 계룡로 119,36.353739,127.73440396,,,,,,,,,,,,
KCCBSPO23N000000157,휘게문고 롯데백화점 상인점,문구서점,북카페,42809,대구광역시 달서구 월배로 232 7층,35.8187686,128.85385154,,,,,,,,,,,,
KCCBSPO23N000000158,휘게문고 롯데프리미엄아울렛 의왕점,문구서점,북카페,16016,경기도 의왕시 바라산로 1 GF층,37.3759865,127.70095466,,,,,,,,,,,,
KCCBSPO23N000000159,휘게문고 본점,문구서점,북카페,28516,충청북도 청주시 상당구 상당로 66 나보나스퀘어 3층,36.6342782,127.7491059,,,,,,,,,,,,
KCCBSPO23N000000160,휘게문고 현대프리미엄아울렛 대전점,문구서점,북카페,34030,대전광역시 유성구 테크노중앙로 123 현대프리미엄 아울렛 대전점 2층,36.4234369,127.73985168,,,,,,,,,,,,
KCCBSPO23N000000161,명문서적북카페,일반서점,북카페,63584,제주특별자치도 서귀포시 중앙로 121 아동도서 할인서점,33.2554535942731,126.560381317055,,,,,,,,,,0647327572,독서활동장소,"주차 : 가능, 화장실 남녀구분 : 구분, 카페 : 있음, 리뷰여부 : 있음"
